000 | 0000000140010000 | 55                       | push rbp                                | rax: 2F-> 2F rbx: FFFFFFFFFFFFFFFF-> FFFFFFFFFFFF | 000000000015FD08: 140007390-> 15FE10              |
001 | 0000000140010001 | 48:BD FF0B014001000000   | mov rbp,consoleapplication1_protected - | rbp: 15FE10-> 140010BFF                           |                                                   |
002 | 000000014001000B | 48:8985 98000000         | mov qword ptr ss:[rbp+98],rax           |                                                   | 0000000140010C97: 0-> 2F                          |
003 | 0000000140010012 | 9C                       | pushfq                                  | rsp: 15FD08-> 15FD00 rflags: 206-> 204            | 000000000015FD00: 15FE10-> 206                    |
004 | 0000000140010013 | 58                       | pop rax                                 | rax: 2F-> 206 rsp: 15FD00-> 15FD08 rflags: 204->  | 000000000015FD00: 206-> 206                       |
005 | 0000000140010014 | 48:8985 A0000000         | mov qword ptr ss:[rbp+A0],rax           |                                                   | 0000000140010C9F: 0-> 206                         |
006 | 000000014001001B | 48:898D 90000000         | mov qword ptr ss:[rbp+90],rcx           |                                                   | 0000000140010C8F: 0-> 140008278                   |
007 | 0000000140010022 | 48:8995 88000000         | mov qword ptr ss:[rbp+88],rdx           |                                                   | 0000000140010C87: 0-> 10000                       |
008 | 0000000140010029 | 48:899D 80000000         | mov qword ptr ss:[rbp+80],rbx           |                                                   | 0000000140010C7F: 0-> FFFFFFFFFFFFFFFF            | [rbp+80]:"\tT"
009 | 0000000140010030 | 48:8975 70               | mov qword ptr ss:[rbp+70],rsi           |                                                   | 0000000140010C6F: 0-> A5A5A5A5A5A5A5A5            |
00A | 0000000140010034 | 48:897D 68               | mov qword ptr ss:[rbp+68],rdi           |                                                   | 0000000140010C67: 0-> 3                           | [rbp+68]:fputs+BE6
00B | 0000000140010038 | 4C:8945 60               | mov qword ptr ss:[rbp+60],r8            |                                                   | 0000000140010C5F: 0-> 7FFFFFFFFFFFFFFC            |
00C | 000000014001003C | 4C:894D 58               | mov qword ptr ss:[rbp+58],r9            |                                                   | 0000000140010C57: 0-> 0                           |
00D | 0000000140010040 | 4C:8955 50               | mov qword ptr ss:[rbp+50],r10           |                                                   | 0000000140010C4F: 0-> 0                           | [rbp+50]:"纻T"
00E | 0000000140010044 | 4C:895D 48               | mov qword ptr ss:[rbp+48],r11           |                                                   | 0000000140010C47: 0-> 15FB70                      |
00F | 0000000140010048 | 4C:8965 40               | mov qword ptr ss:[rbp+40],r12           |                                                   | 0000000140010C3F: 0-> 0                           |
010 | 000000014001004C | 4C:896D 38               | mov qword ptr ss:[rbp+38],r13           |                                                   | 0000000140010C37: 0-> 0                           | [rbp+38]:fflush+B6
011 | 0000000140010050 | 4C:8975 30               | mov qword ptr ss:[rbp+30],r14           |                                                   | 0000000140010C2F: 0-> FFFFFFFF                    |
012 | 0000000140010054 | 4C:897D 28               | mov qword ptr ss:[rbp+28],r15           |                                                   | 0000000140010C27: 0-> 7FFFFFFFFFFFFFFF            |
013 | 0000000140010058 | 59                       | pop rcx                                 | rcx: 140008278-> 15FE10 rsp: 15FD08-> 15FD10      | 000000000015FD08: 15FE10-> 15FE10                 |
014 | 0000000140010059 | 48:894D 78               | mov qword ptr ss:[rbp+78],rcx           |                                                   | 0000000140010C77: 0-> 15FE10                      | [rbp+78]:L"\\CurrentControlSet\\Control\\Nls\\ExtendedLocale"
015 | 000000014001005D | 48:89A5 A8000000         | mov qword ptr ss:[rbp+A8],rsp           |                                                   | 0000000140010CA7: 0-> 15FD10                      |
016 | 0000000140010064 | 49:89E7                  | mov r15,rsp                             | r15: 7FFFFFFFFFFFFFFF-> 15FD10                    |                                                   |
017 | 0000000140010067 | 49:81EF 88000000         | sub r15,88                              | r15: 15FD10-> 15FC88 rflags: 206-> 216            |                                                   |
018 | 000000014001006E | 48:81EC 00200000         | sub rsp,2000                            | rsp: 15FD10-> 15DD10 rflags: 216-> 202            |                                                   |
019 | 0000000140010075 | 41:B9 34E16247           | mov r9d,4762E134                        | r9: 0-> 4762E134                                  |                                                   |
01A | 000000014001007B | 48:BB AF0C014001000000   | mov rbx,consoleapplication1_protected - | rbx: FFFFFFFFFFFFFFFF-> 140010CAF                 |                                                   |
01B | 0000000140010085 | 49:BA AF14014001000000   | mov r10,consoleapplication1_protected - | r10: 0-> 1400114AF                                |                                                   |
01C | 000000014001008F | 48:BE AF14014001000000   | mov rsi,consoleapplication1_protected - | rsi: A5A5A5A5A5A5A5A5-> 1400114AF                 |                                                   |
01D | 0000000140010099 | 41:8B0A                  | mov ecx,dword ptr ds:[r10]              | rcx: 15FE10-> FFFFFF67                            | 00000001400114AF: 4000818BFFFFFF67-> 4000818BFFFF |
01E | 000000014001009C | 49:83C2 04               | add r10,4                               | r10: 1400114AF-> 1400114B3 rflags: 202-> 212      |                                                   |
01F | 00000001400100A0 | 44:29C9                  | sub ecx,r9d                             | rcx: FFFFFF67-> B89D1E33 rflags: 212-> 286        |                                                   |
020 | 00000001400100A3 | 44:31C9                  | xor ecx,r9d                             | rcx: B89D1E33-> FFFFFF07 rflags: 286-> 282        |                                                   |
021 | 00000001400100A6 | F7D1                     | not ecx                                 | rcx: FFFFFF07-> F8                                |                                                   |
022 | 00000001400100A8 | 41:01C9                  | add r9d,ecx                             | r9: 4762E134-> 4762E22C rflags: 282-> 202         |                                                   |
023 | 00000001400100AB | FF24CB                   | jmp qword ptr ds:[rbx+rcx*8]            |                                                   | 000000014001146F: 140010334-> 140010334           |
