1C68 | 0000000140009374 | 42:FF24E8                | jmp qword ptr ds:[rax+r13*8]            | rsp: 15DEA0-> 15D780 rflags: 282-> 280            | 000000014000A895: 6FFFFFFDE-> 6FFFFFFDE           |
1C69 | 00007FFDBF6C5B50 | FC                       | cld                                     | rflags: 280-> 282                                 |                                                   |
1C6A | 00007FFDBF6C5B51 | 48:8B05 88150800         | mov rax,qword ptr ds:[7FFDBF7470E0]     | rax: 140009C05-> 0                                | 00007FFDBF7470E0: 0-> 0                           |
1C6B | 00007FFDBF6C5B58 | 48:85C0                  | test rax,rax                            | rflags: 282-> 246                                 |                                                   |
1C6C | 00007FFDBF6C5B5B | 74 0F                    | je ntdll.7FFDBF6C5B6C                   |                                                   |                                                   |
1C6D | 00007FFDBF6C5B6C | 48:8BCC                  | mov rcx,rsp                             | rcx: 0-> 15D780                                   |                                                   |
1C6E | 00007FFDBF6C5B6F | 48:81C1 F0040000         | add rcx,4F0                             | rcx: 15D780-> 15DC70 rflags: 246-> 202            |                                                   |
1C6F | 00007FFDBF6C5B76 | 48:8BD4                  | mov rdx,rsp                             | rdx: 15FE10-> 15D780                              |                                                   |
1C70 | 00007FFDBF6C5B79 | E8 E2C3EAFF              | call ntdll.7FFDBF571F60                 | rcx: 15DC70-> 14BAEFC058510000 r8: 7FFFFFFFFFFFFF | 000000000015D778: 0-> 7FFDBF6C5B7E                |
1C71 | 00007FFDBF6C5B7E | 84C0                     | test al,al                              | rflags: 244-> 246                                 |                                                   |
1C72 | 00007FFDBF6C5B80 | 74 0C                    | je ntdll.7FFDBF6C5B8E                   |                                                   |                                                   |
1C73 | 00007FFDBF6C5B8E | 48:8BCC                  | mov rcx,rsp                             | rcx: 14BAEFC058510000-> 15D780                    |                                                   |
1C74 | 00007FFDBF6C5B91 | 48:81C1 F0040000         | add rcx,4F0                             | rcx: 15D780-> 15DC70 rflags: 246-> 202            |                                                   |
1C75 | 00007FFDBF6C5B98 | 48:8BD4                  | mov rdx,rsp                             |                                                   |                                                   |
1C76 | 00007FFDBF6C5B9B | 45:32C0                  | xor r8b,r8b                             |                                                   |                                                   |
