0000 | 0000000140009000 | 55                       | push rbp                                | rax: 60F1EADD6589-> 60F1EADD6589 rbx: 4A03B14E45B | 000000000015FE98: 7FFE9B3EFFC0-> 0                |
0001 | 0000000140009001 | 48:BD 8A96004001000000   | mov rbp,consoleapplication1_protected.1 | rbp: 0-> 14000968A                                |                                                   |
0002 | 000000014000900B | 48:8985 98000000         | mov qword ptr ss:[rbp+98],rax           |                                                   | 0000000140009722: 0-> 60F1EADD6589                |
0003 | 0000000140009012 | 9C                       | pushfq                                  | rsp: 15FE98-> 15FE90 rflags: 202-> 200            | 000000000015FE90: 0-> 202                         |
0004 | 0000000140009013 | 58                       | pop rax                                 | rax: 60F1EADD6589-> 202 rsp: 15FE90-> 15FE98 rfla | 000000000015FE90: 202-> 202                       |
0005 | 0000000140009014 | 48:8985 A0000000         | mov qword ptr ss:[rbp+A0],rax           |                                                   | 000000014000972A: 0-> 202                         |
0006 | 000000014000901B | 48:898D 90000000         | mov qword ptr ss:[rbp+90],rcx           |                                                   | 000000014000971A: 0-> 1400032DC                   |
0007 | 0000000140009022 | 48:8995 88000000         | mov qword ptr ss:[rbp+88],rdx           |                                                   | 0000000140009712: 0-> 10000                       | [rbp+88]:_errno+B5
0008 | 0000000140009029 | 48:899D 80000000         | mov qword ptr ss:[rbp+80],rbx           |                                                   | 000000014000970A: 0-> 4A03B14E45B7380             |
0009 | 0000000140009030 | 48:8975 70               | mov qword ptr ss:[rbp+70],rsi           |                                                   | 00000001400096FA: 0-> 0                           |
000A | 0000000140009034 | 48:897D 68               | mov qword ptr ss:[rbp+68],rdi           |                                                   | 00000001400096F2: 0-> 5B4620                      |
000B | 0000000140009038 | 4C:8945 60               | mov qword ptr ss:[rbp+60],r8            |                                                   | 00000001400096EA: 0-> 7FFFFFFFFFFFFFFC            | [rbp+60]:"\\cmd.exe"
000C | 000000014000903C | 4C:894D 58               | mov qword ptr ss:[rbp+58],r9            |                                                   | 00000001400096E2: 0-> 0                           | [rbp+58]:_wspawnlpe+1F9
000D | 0000000140009040 | 4C:8955 50               | mov qword ptr ss:[rbp+50],r10           |                                                   | 00000001400096DA: 0-> 0                           | [rbp+50]:"C:\\WINDOWS\\system32\\cmd.exe"
000E | 0000000140009044 | 4C:895D 48               | mov qword ptr ss:[rbp+48],r11           |                                                   | 00000001400096D2: 0-> 15FD50                      |
000F | 0000000140009048 | 4C:8965 40               | mov qword ptr ss:[rbp+40],r12           |                                                   | 00000001400096CA: 0-> 0                           |
0010 | 000000014000904C | 4C:896D 38               | mov qword ptr ss:[rbp+38],r13           |                                                   | 00000001400096C2: 0-> 0                           | [rbp+38]:&"C:\\WINDOWS\\system32\\cmd.exe"
0011 | 0000000140009050 | 4C:8975 30               | mov qword ptr ss:[rbp+30],r14           |                                                   | 00000001400096BA: 0-> 0                           |
0012 | 0000000140009054 | 4C:897D 28               | mov qword ptr ss:[rbp+28],r15           |                                                   | 00000001400096B2: 0-> 0                           |
0013 | 0000000140009058 | 59                       | pop rcx                                 | rcx: 1400032DC-> 0 rsp: 15FE98-> 15FEA0           | 000000000015FE98: 0-> 0                           |
